model_type,noise_type,noise_level,noise_fraction,mse,mae,rel_l2,rel_l2_std,avg_ortho_score,std_ortho_score,seed
fourier,partial_random,0.0,1.0,2.8117086e-07,0.00029348687,0.0007622849,0.0006126472,,,42
fourier,partial_random,0.0,0.5,2.8117086e-07,0.00029348687,0.0007622849,0.0006126472,,,42
fourier,partial_random,0.0,0.25,2.8117086e-07,0.00029348687,0.0007622849,0.0006126472,,,42
fourier,partial_random,0.1,1.0,2.4993858e-06,0.0012338866,0.002888768,0.00083902286,,,42
fourier,partial_random,0.1,0.5,1.427637e-06,0.00091580016,0.0021518532,0.0006979001,,,42
fourier,partial_random,0.1,0.25,8.0110686e-07,0.00065706746,0.0015643549,0.0006278518,,,42
fourier,partial_random,0.2,1.0,9.168285e-06,0.0024033755,0.0055842875,0.0014865925,,,42
fourier,partial_random,0.2,0.5,4.8459706e-06,0.001743141,0.004051568,0.0010616146,,,42
fourier,partial_random,0.2,0.25,2.3384864e-06,0.0011954758,0.0027903884,0.0008009108,,,42
fourier,partial_random,0.5,1.0,5.585976e-05,0.0059587415,0.013801643,0.0036610367,,,42
fourier,partial_random,0.5,0.5,2.8721062e-05,0.0042837635,0.009914139,0.0024635196,,,42
fourier,partial_random,0.5,0.25,1.3053234e-05,0.0028853477,0.0066760397,0.0016791908,,,42
fourier,partial_random,1.0,1.0,0.00022229245,0.011892151,0.027530199,0.0073390906,,,42
fourier,partial_random,1.0,0.5,0.00011380182,0.008534891,0.019744353,0.0048997905,,,42
fourier,partial_random,1.0,0.25,5.120686e-05,0.0057302774,0.013235705,0.00331691,,,42
fourier,harmonic_spatial,0.0,1.0,2.8117086e-07,0.00029348687,0.0007622849,0.0006126472,,,42
fourier,harmonic_spatial,0.0,0.5,2.8117086e-07,0.00029348687,0.0007622849,0.0006126472,,,42
fourier,harmonic_spatial,0.0,0.25,2.8117086e-07,0.00029348687,0.0007622849,0.0006126472,,,42
fourier,harmonic_spatial,0.1,1.0,0.000109985616,0.008916123,0.01891288,0.0064923516,,,42
fourier,harmonic_spatial,0.2,1.0,0.0004385852,0.017809499,0.03776361,0.012989066,,,42
fourier,harmonic_spatial,0.5,1.0,0.0027364574,0.044489935,0.094332494,0.032460254,,,42
fourier,harmonic_spatial,1.0,1.0,0.010915846,0.08887376,0.18844157,0.06480436,,,42
fourier,bandlimited_lowpass,0.0,1.0,2.8117086e-07,0.00029348687,0.0007622849,0.0006126472,,,42
fourier,bandlimited_lowpass,0.0,0.5,2.8117086e-07,0.00029348687,0.0007622849,0.0006126472,,,42
fourier,bandlimited_lowpass,0.0,0.25,2.8117086e-07,0.00029348687,0.0007622849,0.0006126472,,,42
fourier,bandlimited_lowpass,0.1,1.0,2.1700711e-05,0.0037278302,0.00865436,0.0020635196,,,42
fourier,bandlimited_lowpass,0.2,1.0,8.6125045e-05,0.0074313837,0.017238408,0.004147445,,,42
fourier,bandlimited_lowpass,0.5,1.0,0.0005370972,0.018556206,0.0430408,0.01041088,,,42
fourier,bandlimited_lowpass,1.0,1.0,0.0021455355,0.03708338,0.086011335,0.020885155,,,42
fourier,bandlimited_highpass,0.0,1.0,2.8117086e-07,0.00029348687,0.0007622849,0.0006126472,,,42
fourier,bandlimited_highpass,0.0,0.5,2.8117086e-07,0.00029348687,0.0007622849,0.0006126472,,,42
fourier,bandlimited_highpass,0.0,0.25,2.8117086e-07,0.00029348687,0.0007622849,0.0006126472,,,42
fourier,bandlimited_highpass,0.1,1.0,2.9091836e-07,0.0003042583,0.000788075,0.000608977,,,42
fourier,bandlimited_highpass,0.2,1.0,3.2123913e-07,0.00033239744,0.000860381,0.00060132006,,,42
fourier,bandlimited_highpass,0.5,1.0,5.4393035e-07,0.00047381918,0.0012571198,0.00057301356,,,42
fourier,bandlimited_highpass,1.0,1.0,1.4448907e-06,0.000803555,0.0022033462,0.0005593945,,,42
fourier,spatial_block_noise,0.0,1.0,2.8117086e-07,0.00029348687,0.0007622849,0.0006126472,,,42
fourier,spatial_block_noise,0.0,0.5,2.8117086e-07,0.00029348687,0.0007622849,0.0006126472,,,42
fourier,spatial_block_noise,0.0,0.25,2.8117086e-07,0.00029348687,0.0007622849,0.0006126472,,,42
fourier,spatial_block_noise,0.1,1.0,7.878554e-07,0.0005823677,0.0015165631,0.00071721926,,,42
fourier,spatial_block_noise,0.2,1.0,2.3408215e-06,0.0010103922,0.0026795054,0.0011517043,,,42
fourier,spatial_block_noise,0.5,1.0,1.3282364e-05,0.0023867842,0.006396347,0.0027725783,,,42
fourier,spatial_block_noise,1.0,1.0,5.243931e-05,0.004723716,0.012693925,0.005564021,,,42
wavelet,partial_random,0.0,1.0,2.510771e-06,0.0011856839,0.002966703,0.0005177772,,,42
wavelet,partial_random,0.0,0.5,2.510771e-06,0.0011856839,0.002966703,0.0005177772,,,42
wavelet,partial_random,0.0,0.25,2.510771e-06,0.0011856839,0.002966703,0.0005177772,,,42
wavelet,partial_random,0.1,1.0,5.1690895e-06,0.0017687194,0.0042519555,0.00081520894,,,42
wavelet,partial_random,0.1,0.5,3.9000697e-06,0.0015234776,0.0036994477,0.00064708106,,,42
wavelet,partial_random,0.1,0.25,3.1481209e-06,0.0013523081,0.0033214318,0.0005845117,,,42
wavelet,partial_random,0.2,1.0,1.3153452e-05,0.0028594846,0.0067605837,0.0014688388,,,42
wavelet,partial_random,0.2,0.5,7.967564e-06,0.0022171175,0.0052771745,0.0010182409,,,42
wavelet,partial_random,0.2,0.25,4.980449e-06,0.0017375718,0.004177664,0.00075495226,,,42
wavelet,partial_random,0.5,1.0,6.904528e-05,0.0065840296,0.015458716,0.00358917,,,42
wavelet,partial_random,0.5,0.5,3.621298e-05,0.0047626626,0.011196771,0.0025008093,,,42
wavelet,partial_random,0.5,0.25,1.762863e-05,0.0033120597,0.007824062,0.0016621089,,,42
wavelet,partial_random,1.0,1.0,0.0002689421,0.013012899,0.030514834,0.0071180635,,,42
wavelet,partial_random,1.0,0.5,0.00013666821,0.009259122,0.021722604,0.0050350577,,,42
wavelet,partial_random,1.0,0.25,6.242047e-05,0.0062241005,0.014686541,0.0033373581,,,42
wavelet,harmonic_spatial,0.0,1.0,2.510771e-06,0.0011856839,0.002966703,0.0005177772,,,42
wavelet,harmonic_spatial,0.0,0.5,2.510771e-06,0.0011856839,0.002966703,0.0005177772,,,42
wavelet,harmonic_spatial,0.0,0.25,2.510771e-06,0.0011856839,0.002966703,0.0005177772,,,42
wavelet,harmonic_spatial,0.1,1.0,0.0001115577,0.008953319,0.019098317,0.006400129,,,42
wavelet,harmonic_spatial,0.2,1.0,0.00043919726,0.01781091,0.03781466,0.012934682,,,42
wavelet,harmonic_spatial,0.5,1.0,0.0027333933,0.04446428,0.09428243,0.03242259,,,42
wavelet,harmonic_spatial,1.0,1.0,0.010922764,0.08889228,0.18845156,0.06487365,,,42
wavelet,bandlimited_lowpass,0.0,1.0,2.510771e-06,0.0011856839,0.002966703,0.0005177772,,,42
wavelet,bandlimited_lowpass,0.0,0.5,2.510771e-06,0.0011856839,0.002966703,0.0005177772,,,42
wavelet,bandlimited_lowpass,0.0,0.25,2.510771e-06,0.0011856839,0.002966703,0.0005177772,,,42
wavelet,bandlimited_lowpass,0.1,1.0,2.5894715e-05,0.004062754,0.009491898,0.0020896816,,,42
wavelet,bandlimited_lowpass,0.2,1.0,9.492063e-05,0.007792341,0.018140595,0.004172423,,,42
wavelet,bandlimited_lowpass,0.5,1.0,0.0005756785,0.019187864,0.044639226,0.010445919,,,42
wavelet,bandlimited_lowpass,1.0,1.0,0.0022850535,0.03822862,0.088916056,0.02090658,,,42
wavelet,bandlimited_highpass,0.0,1.0,2.510771e-06,0.0011856839,0.002966703,0.0005177772,,,42
wavelet,bandlimited_highpass,0.0,0.5,2.510771e-06,0.0011856839,0.002966703,0.0005177772,,,42
wavelet,bandlimited_highpass,0.0,0.25,2.510771e-06,0.0011856839,0.002966703,0.0005177772,,,42
wavelet,bandlimited_highpass,0.1,1.0,2.9218177e-06,0.0012677066,0.0032015026,0.0005653265,,,42
wavelet,bandlimited_highpass,0.2,1.0,4.1009e-06,0.0014692869,0.0037947884,0.0006826091,,,42
wavelet,bandlimited_highpass,0.5,1.0,1.2386363e-05,0.0023882282,0.0065672956,0.0013882284,,,42
wavelet,bandlimited_highpass,1.0,1.0,4.374188e-05,0.0043535377,0.012301538,0.0028287075,,,42
wavelet,spatial_block_noise,0.0,1.0,2.510771e-06,0.0011856839,0.002966703,0.0005177772,,,42
wavelet,spatial_block_noise,0.0,0.5,2.510771e-06,0.0011856839,0.002966703,0.0005177772,,,42
wavelet,spatial_block_noise,0.0,0.25,2.510771e-06,0.0011856839,0.002966703,0.0005177772,,,42
wavelet,spatial_block_noise,0.1,1.0,3.1210727e-06,0.0013402051,0.003313209,0.00057644217,,,42
wavelet,spatial_block_noise,0.2,1.0,4.851168e-06,0.0016448797,0.004096473,0.00093285384,,,42
wavelet,spatial_block_noise,0.5,1.0,1.6783213e-05,0.0028297475,0.0074114334,0.002537454,,,42
wavelet,spatial_block_noise,1.0,1.0,5.9361042e-05,0.005070997,0.013768639,0.0052690487,,,42
fourier_ortho,partial_random,0.0,1.0,4.846869e-07,0.00048102462,0.0011929139,0.0005232453,-34.073280334472656,0.4701704680919647,42
fourier_ortho,partial_random,0.0,0.5,4.846869e-07,0.00048102462,0.0011929139,0.0005232453,-34.073280334472656,0.4701704680919647,42
fourier_ortho,partial_random,0.0,0.25,4.846869e-07,0.00048102462,0.0011929139,0.0005232453,-34.073280334472656,0.4701704680919647,42
fourier_ortho,partial_random,0.1,1.0,2.704243e-06,0.0012975414,0.003039591,0.00075775303,-34.05949783325195,0.4700343906879425,42
fourier_ortho,partial_random,0.1,0.5,1.6252817e-06,0.0009902999,0.0023379046,0.00061999407,-34.06458282470703,0.478319376707077,42
fourier_ortho,partial_random,0.1,0.25,9.887641e-07,0.00075529586,0.001802378,0.00053609716,-34.08393096923828,0.4734373688697815,42
fourier_ortho,partial_random,0.2,1.0,9.466203e-06,0.002450202,0.0056969966,0.0014349385,-34.05320358276367,0.46070724725723267,42
fourier_ortho,partial_random,0.2,0.5,5.0830895e-06,0.0017902888,0.004173005,0.001009665,-34.0667610168457,0.4649334251880646,42
fourier_ortho,partial_random,0.2,0.25,2.5334548e-06,0.001251674,0.0029360382,0.00073546276,-34.0958251953125,0.46658533811569214,42
fourier_ortho,partial_random,0.5,1.0,5.6992238e-05,0.0060240687,0.013966855,0.0036081541,-34.03818893432617,0.38500314950942993,42
fourier_ortho,partial_random,0.5,0.5,2.9391573e-05,0.004335274,0.010048842,0.0024289044,-34.075965881347656,0.40374043583869934,42
fourier_ortho,partial_random,0.5,0.25,1.3409971e-05,0.0029192,0.00678233,0.0016581521,-34.117218017578125,0.3980369567871094,42
fourier_ortho,partial_random,1.0,1.0,0.00022729169,0.012032399,0.027878856,0.007278356,-33.86017608642578,0.449601948261261,42
fourier_ortho,partial_random,1.0,0.5,0.00011645127,0.008633912,0.020001473,0.004863475,-33.934757232666016,0.4275055229663849,42
fourier_ortho,partial_random,1.0,0.25,5.238734e-05,0.0057816072,0.013405728,0.0033034694,-34.06903839111328,0.36997854709625244,42
fourier_ortho,harmonic_spatial,0.0,1.0,4.846869e-07,0.00048102462,0.0011929139,0.0005232453,-34.073280334472656,0.4701704680919647,42
fourier_ortho,harmonic_spatial,0.0,0.5,4.846869e-07,0.00048102462,0.0011929139,0.0005232453,-34.073280334472656,0.4701704680919647,42
fourier_ortho,harmonic_spatial,0.0,0.25,4.846869e-07,0.00048102462,0.0011929139,0.0005232453,-34.073280334472656,0.4701704680919647,42
fourier_ortho,harmonic_spatial,0.1,1.0,0.00010957755,0.008901949,0.018894052,0.00644176,-34.1165657043457,0.44857871532440186,42
fourier_ortho,harmonic_spatial,0.2,1.0,0.00043757056,0.01779178,0.037732646,0.012943634,-34.14046096801758,0.38401973247528076,42
fourier_ortho,harmonic_spatial,0.5,1.0,0.00273611,0.044488482,0.09432535,0.03245094,-34.07838439941406,0.3055756092071533,42
fourier_ortho,harmonic_spatial,1.0,1.0,0.010932019,0.088934936,0.18855697,0.06484884,-33.70066452026367,0.5603361129760742,42
fourier_ortho,bandlimited_lowpass,0.0,1.0,4.846869e-07,0.00048102462,0.0011929139,0.0005232453,-34.073280334472656,0.4701704680919647,42
fourier_ortho,bandlimited_lowpass,0.0,0.5,4.846869e-07,0.00048102462,0.0011929139,0.0005232453,-34.073280334472656,0.4701704680919647,42
fourier_ortho,bandlimited_lowpass,0.0,0.25,4.846869e-07,0.00048102462,0.0011929139,0.0005232453,-34.073280334472656,0.4701704680919647,42
fourier_ortho,bandlimited_lowpass,0.1,1.0,2.2081042e-05,0.0037603704,0.008736944,0.0020464843,-34.093326568603516,0.4990815818309784,42
fourier_ortho,bandlimited_lowpass,0.2,1.0,8.677079e-05,0.007457534,0.017308522,0.0041327197,-34.08466339111328,0.49476388096809387,42
fourier_ortho,bandlimited_lowpass,0.5,1.0,0.00053994707,0.01860758,0.043161064,0.0104009025,-33.945167541503906,0.4192027151584625,42
fourier_ortho,bandlimited_lowpass,1.0,1.0,0.0021589997,0.037211563,0.08628744,0.020917905,-33.68041229248047,0.43821030855178833,42
fourier_ortho,bandlimited_highpass,0.0,1.0,4.846869e-07,0.00048102462,0.0011929139,0.0005232453,-34.073280334472656,0.4701704680919647,42
fourier_ortho,bandlimited_highpass,0.0,0.5,4.846869e-07,0.00048102462,0.0011929139,0.0005232453,-34.073280334472656,0.4701704680919647,42
fourier_ortho,bandlimited_highpass,0.0,0.25,4.846869e-07,0.00048102462,0.0011929139,0.0005232453,-34.073280334472656,0.4701704680919647,42
fourier_ortho,bandlimited_highpass,0.1,1.0,5.388231e-07,0.00051503314,0.0012761625,0.00051461265,-34.081024169921875,0.4889954626560211,42
fourier_ortho,bandlimited_highpass,0.2,1.0,7.0408333e-07,0.00059896684,0.0014994671,0.0004953143,-34.05525588989258,0.49567413330078125,42
fourier_ortho,bandlimited_highpass,0.5,1.0,1.8925856e-06,0.00097005477,0.0025668822,0.00046643356,-33.98606491088867,0.44991886615753174,42
fourier_ortho,bandlimited_highpass,1.0,1.0,6.2653357e-06,0.0017339532,0.0047288416,0.0005370711,-33.73391342163086,0.5001271367073059,42
fourier_ortho,spatial_block_noise,0.0,1.0,4.846869e-07,0.00048102462,0.0011929139,0.0005232453,-34.073280334472656,0.4701704680919647,42
fourier_ortho,spatial_block_noise,0.0,0.5,4.846869e-07,0.00048102462,0.0011929139,0.0005232453,-34.073280334472656,0.4701704680919647,42
fourier_ortho,spatial_block_noise,0.0,0.25,4.846869e-07,0.00048102462,0.0011929139,0.0005232453,-34.073280334472656,0.4701704680919647,42
fourier_ortho,spatial_block_noise,0.1,1.0,1.0260078e-06,0.0007223788,0.0018110079,0.00063011696,-34.0697021484375,0.4778848886489868,42
fourier_ortho,spatial_block_noise,0.2,1.0,2.6325088e-06,0.0011207222,0.0028991457,0.0010745024,-34.06905746459961,0.480612576007843,42
fourier_ortho,spatial_block_noise,0.5,1.0,1.3856221e-05,0.0024704204,0.006582026,0.0027114064,-34.05754852294922,0.47743067145347595,42
fourier_ortho,spatial_block_noise,1.0,1.0,5.392632e-05,0.0048154606,0.012935814,0.0054933806,-34.03246307373047,0.47943973541259766,42
default,partial_random,0.0,1.0,7.123406e-05,0.0065924884,0.015070107,0.0054859347,,,42
default,partial_random,0.0,0.5,7.123406e-05,0.0065924884,0.015070107,0.0054859347,,,42
default,partial_random,0.0,0.25,7.123406e-05,0.0065924884,0.015070107,0.0054859347,,,42
default,partial_random,0.1,1.0,7.8472e-05,0.006919567,0.01599138,0.0053012758,,,42
default,partial_random,0.1,0.5,7.488723e-05,0.0067569884,0.015545769,0.005379174,,,42
default,partial_random,0.1,0.25,7.305014e-05,0.0066774893,0.015315547,0.005414282,,,42
default,partial_random,0.2,1.0,0.00010091096,0.007861677,0.018378751,0.0053037605,,,42
default,partial_random,0.2,0.5,8.603232e-05,0.007252562,0.01684926,0.0052348347,,,42
default,partial_random,0.2,0.25,7.862424e-05,0.0069357855,0.016018849,0.0052635293,,,42
default,partial_random,0.5,1.0,0.00025933477,0.012643316,0.029541861,0.008472851,,,42
default,partial_random,0.5,0.5,0.00016444895,0.010063392,0.023602664,0.006336184,,,42
default,partial_random,0.5,0.25,0.00011789953,0.008562415,0.02000587,0.005279861,,,42
default,partial_random,1.0,1.0,0.0008251047,0.022574443,0.052182212,0.016931657,,,42
default,partial_random,1.0,0.5,0.0004451595,0.016539605,0.038512617,0.011703257,,,42
default,partial_random,1.0,0.25,0.00025858026,0.012752887,0.029640213,0.008028147,,,42
default,harmonic_spatial,0.0,1.0,7.123406e-05,0.0065924884,0.015070107,0.0054859347,,,42
default,harmonic_spatial,0.0,0.5,7.123406e-05,0.0065924884,0.015070107,0.0054859347,,,42
default,harmonic_spatial,0.0,0.25,7.123406e-05,0.0065924884,0.015070107,0.0054859347,,,42
default,harmonic_spatial,0.1,1.0,0.00018192366,0.010946247,0.024886718,0.0063257795,,,42
default,harmonic_spatial,0.2,1.0,0.00051132543,0.018831432,0.041327752,0.012196005,,,42
default,harmonic_spatial,0.5,1.0,0.0028033438,0.044699833,0.0956644,0.03222226,,,42
default,harmonic_spatial,1.0,1.0,0.010805197,0.087516345,0.18670498,0.06655839,,,42
default,bandlimited_lowpass,0.0,1.0,7.123406e-05,0.0065924884,0.015070107,0.0054859347,,,42
default,bandlimited_lowpass,0.0,0.5,7.123406e-05,0.0065924884,0.015070107,0.0054859347,,,42
default,bandlimited_lowpass,0.0,0.25,7.123406e-05,0.0065924884,0.015070107,0.0054859347,,,42
default,bandlimited_lowpass,0.1,1.0,9.6252974e-05,0.0077006184,0.017972285,0.0050540743,,,42
default,bandlimited_lowpass,0.2,1.0,0.00017034487,0.010324607,0.024259605,0.005536768,,,42
default,bandlimited_lowpass,0.5,1.0,0.00068705285,0.020875521,0.04866239,0.011785452,,,42
default,bandlimited_lowpass,1.0,1.0,0.0025206679,0.040043082,0.092889234,0.024091268,,,42
default,bandlimited_highpass,0.0,1.0,7.123406e-05,0.0065924884,0.015070107,0.0054859347,,,42
default,bandlimited_highpass,0.0,0.5,7.123406e-05,0.0065924884,0.015070107,0.0054859347,,,42
default,bandlimited_highpass,0.0,0.25,7.123406e-05,0.0065924884,0.015070107,0.0054859347,,,42
default,bandlimited_highpass,0.1,1.0,7.701713e-05,0.0068610716,0.015783617,0.005414564,,,42
default,bandlimited_highpass,0.2,1.0,9.4872164e-05,0.0076119816,0.01767889,0.0055963164,,,42
default,bandlimited_highpass,0.5,1.0,0.00022079208,0.011590089,0.026868865,0.009110992,,,42
default,bandlimited_highpass,1.0,1.0,0.00067111524,0.020113442,0.046124145,0.018058589,,,42
default,spatial_block_noise,0.0,1.0,7.123406e-05,0.0065924884,0.015070107,0.0054859347,,,42
default,spatial_block_noise,0.0,0.5,7.123406e-05,0.0065924884,0.015070107,0.0054859347,,,42
default,spatial_block_noise,0.0,0.25,7.123406e-05,0.0065924884,0.015070107,0.0054859347,,,42
default,spatial_block_noise,0.1,1.0,7.326029e-05,0.00668952,0.015334389,0.005421745,,,42
default,spatial_block_noise,0.2,1.0,7.9005404e-05,0.0069564604,0.016040843,0.0053004976,,,42
default,spatial_block_noise,0.5,1.0,0.000118543125,0.008549742,0.019966537,0.0055203517,,,42
default,spatial_block_noise,1.0,1.0,0.00025879775,0.012542535,0.029431209,0.008543238,,,42
nomad,partial_random,0.0,1.0,0.008454141,0.07195342,0.16511871,0.05523335,,,42
nomad,partial_random,0.0,0.5,0.008454141,0.07195342,0.16511871,0.05523335,,,42
nomad,partial_random,0.0,0.25,0.008454141,0.07195342,0.16511871,0.05523335,,,42
nomad,partial_random,0.1,1.0,0.008456807,0.071958035,0.16514534,0.0552384,,,42
nomad,partial_random,0.1,0.5,0.00845584,0.07196156,0.16513708,0.05523244,,,42
nomad,partial_random,0.1,0.25,0.008454826,0.07195818,0.1651249,0.055235047,,,42
nomad,partial_random,0.2,1.0,0.008462113,0.07197519,0.16520433,0.05523419,,,42
