model_type,noise_type,noise_level,noise_fraction,mse,mae,rel_l2,rel_l2_std,avg_ortho_score,std_ortho_score,seed
default,partial_random,0.0,1.0,0.004154406,0.027269563,0.07310178,0.026413966,,,777
default,partial_random,0.0,0.5,0.004154406,0.027269563,0.07310178,0.026413966,,,777
default,partial_random,0.0,0.25,0.004154406,0.027269563,0.07310178,0.026413966,,,777
default,partial_random,0.1,1.0,0.017285753,0.064712934,0.15584755,0.032072235,,,777
default,partial_random,0.1,0.5,0.012131699,0.053217977,0.12949328,0.031605907,,,777
default,partial_random,0.1,0.25,0.008260067,0.041981466,0.10602961,0.02887497,,,777
default,partial_random,0.2,1.0,0.01762153,0.066112824,0.15774527,0.030297315,,,777
default,partial_random,0.2,0.5,0.014022133,0.057692792,0.13973041,0.032082323,,,777
default,partial_random,0.2,0.25,0.009818529,0.046030097,0.11648143,0.028398827,,,777
default,partial_random,0.5,1.0,0.017846111,0.06628117,0.1590028,0.029183606,,,777
default,partial_random,0.5,0.5,0.015604882,0.061226655,0.14813139,0.030142246,,,777
default,partial_random,0.5,0.25,0.011634801,0.05137878,0.12715934,0.029635446,,,777
default,partial_random,1.0,1.0,0.018268643,0.06695331,0.16081563,0.029802125,,,777
default,partial_random,1.0,0.5,0.015913581,0.061897155,0.1495961,0.030414235,,,777
default,partial_random,1.0,0.25,0.01182552,0.052106384,0.12855987,0.028073316,,,777
default,harmonic_spatial,0.0,1.0,0.004154406,0.027269563,0.07310178,0.026413966,,,777
default,harmonic_spatial,0.0,0.5,0.004154406,0.027269563,0.07310178,0.026413966,,,777
default,harmonic_spatial,0.0,0.25,0.004154406,0.027269563,0.07310178,0.026413966,,,777
default,harmonic_spatial,0.1,1.0,0.018004103,0.066315055,0.15787041,0.0377782,,,777
default,harmonic_spatial,0.2,1.0,0.018015508,0.06627591,0.15910466,0.03229949,,,777
default,harmonic_spatial,0.5,1.0,0.018904086,0.068333484,0.16330373,0.0314131,,,777
default,harmonic_spatial,1.0,1.0,0.018783363,0.068082936,0.16308337,0.029966317,,,777
default,bandlimited_lowpass,0.0,1.0,0.004154406,0.027269563,0.07310178,0.026413966,,,777
default,bandlimited_lowpass,0.0,0.5,0.004154406,0.027269563,0.07310178,0.026413966,,,777
default,bandlimited_lowpass,0.0,0.25,0.004154406,0.027269563,0.07310178,0.026413966,,,777
default,bandlimited_lowpass,0.1,1.0,0.017131314,0.06408622,0.15372707,0.037795648,,,777
default,bandlimited_lowpass,0.2,1.0,0.018024122,0.0660592,0.15888624,0.033562932,,,777
default,bandlimited_lowpass,0.5,1.0,0.018522732,0.06725956,0.16172844,0.031101415,,,777
default,bandlimited_lowpass,1.0,1.0,0.018652085,0.067449026,0.1628322,0.028141094,,,777
default,bandlimited_highpass,0.0,1.0,0.004154406,0.027269563,0.07310178,0.026413966,,,777
default,bandlimited_highpass,0.0,0.5,0.004154406,0.027269563,0.07310178,0.026413966,,,777
default,bandlimited_highpass,0.0,0.25,0.004154406,0.027269563,0.07310178,0.026413966,,,777
default,bandlimited_highpass,0.1,1.0,0.017804738,0.065931045,0.15781063,0.03384877,,,777
default,bandlimited_highpass,0.2,1.0,0.018201636,0.06661634,0.16039696,0.03026018,,,777
default,bandlimited_highpass,0.5,1.0,0.018454952,0.0671452,0.16170883,0.029352004,,,777
default,bandlimited_highpass,1.0,1.0,0.018401708,0.06714954,0.1614718,0.029564837,,,777
default,spatial_block_noise,0.0,1.0,0.004154406,0.027269563,0.07310178,0.026413966,,,777
default,spatial_block_noise,0.0,0.5,0.004154406,0.027269563,0.07310178,0.026413966,,,777
default,spatial_block_noise,0.0,0.25,0.004154406,0.027269563,0.07310178,0.026413966,,,777
default,spatial_block_noise,0.1,1.0,0.008185205,0.03924155,0.10032651,0.042876255,,,777
default,spatial_block_noise,0.2,1.0,0.008037499,0.038800355,0.098437384,0.04478339,,,777
default,spatial_block_noise,0.5,1.0,0.008301794,0.039279588,0.10035385,0.04485167,,,777
default,spatial_block_noise,1.0,1.0,0.008247465,0.0390251,0.099551104,0.04573006,,,777
nomad,partial_random,0.0,1.0,0.0046290997,0.027516184,0.07641858,0.02995305,,,777
nomad,partial_random,0.0,0.5,0.0046290997,0.027516184,0.07641858,0.02995305,,,777
nomad,partial_random,0.0,0.25,0.0046290997,0.027516184,0.07641858,0.02995305,,,777
nomad,partial_random,0.1,1.0,0.028433535,0.09636352,0.1992749,0.0440898,,,777
nomad,partial_random,0.1,0.5,0.015425963,0.062967815,0.14564045,0.03679672,,,777
nomad,partial_random,0.1,0.25,0.009651695,0.044460285,0.11419225,0.03279228,,,777
nomad,partial_random,0.2,1.0,0.046287376,0.13021678,0.25540438,0.05065942,,,777
nomad,partial_random,0.2,0.5,0.021398362,0.07900034,0.1728265,0.038426846,,,777
nomad,partial_random,0.2,0.25,0.011959278,0.051583346,0.12824583,0.032694887,,,777
nomad,partial_random,0.5,1.0,0.12348349,0.24803808,0.4080414,0.120094374,,,777
nomad,partial_random,0.5,0.5,0.02808502,0.09760721,0.1998702,0.03472377,,,777
nomad,partial_random,0.5,0.25,0.013990937,0.05853005,0.13903357,0.03397036,,,777
nomad,partial_random,1.0,1.0,0.27442724,0.36705652,0.5539466,0.3064883,,,777
nomad,partial_random,1.0,0.5,0.031315256,0.104785666,0.21089248,0.03769182,,,777
nomad,partial_random,1.0,0.25,0.015362919,0.062391773,0.14604269,0.033728912,,,777
nomad,harmonic_spatial,0.0,1.0,0.0046290997,0.027516184,0.07641858,0.02995305,,,777
nomad,harmonic_spatial,0.0,0.5,0.0046290997,0.027516184,0.07641858,0.02995305,,,777
nomad,harmonic_spatial,0.0,0.25,0.0046290997,0.027516184,0.07641858,0.02995305,,,777
nomad,harmonic_spatial,0.1,1.0,0.029011639,0.10128141,0.1993227,0.052485,,,777
nomad,harmonic_spatial,0.2,1.0,0.04873,0.1393037,0.25891832,0.06560018,,,777
nomad,harmonic_spatial,0.5,1.0,0.43474865,0.47234562,0.6528707,0.4543905,,,777
nomad,harmonic_spatial,1.0,1.0,1.3477714,0.65538263,0.89474076,1.0750663,,,777
nomad,bandlimited_lowpass,0.0,1.0,0.0046290997,0.027516184,0.07641858,0.02995305,,,777
nomad,bandlimited_lowpass,0.0,0.5,0.0046290997,0.027516184,0.07641858,0.02995305,,,777
nomad,bandlimited_lowpass,0.0,0.25,0.0046290997,0.027516184,0.07641858,0.02995305,,,777
nomad,bandlimited_lowpass,0.1,1.0,0.031367473,0.10475858,0.20763211,0.052699022,,,777
nomad,bandlimited_lowpass,0.2,1.0,0.04913659,0.13905671,0.26065254,0.063811064,,,777
nomad,bandlimited_lowpass,0.5,1.0,0.1426805,0.27724293,0.43797767,0.13010797,,,777
nomad,bandlimited_lowpass,1.0,1.0,0.32838854,0.43415925,0.6297992,0.28987443,,,777
nomad,bandlimited_highpass,0.0,1.0,0.0046290997,0.027516184,0.07641858,0.02995305,,,777
nomad,bandlimited_highpass,0.0,0.5,0.0046290997,0.027516184,0.07641858,0.02995305,,,777
nomad,bandlimited_highpass,0.0,0.25,0.0046290997,0.027516184,0.07641858,0.02995305,,,777
nomad,bandlimited_highpass,0.1,1.0,0.029304167,0.099039294,0.20248534,0.0435392,,,777
nomad,bandlimited_highpass,0.2,1.0,0.044343535,0.12578894,0.25038153,0.046919063,,,777
nomad,bandlimited_highpass,0.5,1.0,0.12358916,0.24895705,0.41262344,0.10325318,,,777
nomad,bandlimited_highpass,1.0,1.0,0.21255901,0.33946744,0.520189,0.20134886,,,777
nomad,spatial_block_noise,0.0,1.0,0.0046290997,0.027516184,0.07641858,0.02995305,,,777
nomad,spatial_block_noise,0.0,0.5,0.0046290997,0.027516184,0.07641858,0.02995305,,,777
nomad,spatial_block_noise,0.0,0.25,0.0046290997,0.027516184,0.07641858,0.02995305,,,777
nomad,spatial_block_noise,0.1,1.0,0.0092826225,0.044867773,0.104974434,0.050034095,,,777
nomad,spatial_block_noise,0.2,1.0,0.009460718,0.045818318,0.10444378,0.053515535,,,777
nomad,spatial_block_noise,0.5,1.0,0.010037872,0.047882304,0.107127905,0.056088097,,,777
nomad,spatial_block_noise,1.0,1.0,0.010419845,0.048942342,0.1094997,0.056519832,,,777
ortho_layer_ica,partial_random,0.0,1.0,0.004124567,0.02659013,0.072239615,0.027938012,-3.1760480403900146,0.004921093117445707,777
